longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,rooms_per_household,bedrooms_per_household,population_per_household,bedrooms_per_room,household_density,room_density,distance_to_LA,distance_to_SF,distance_to_SD,coastal_proximity,income_per_person,income_squared,income_log,age_squared,age_log,income_age_interaction,income_rooms_interaction,~income_bin,~age_bin,~pop_density_bin,~ocean_proximity_INLAND,~ocean_proximity_ISLAND,~ocean_proximity_NEAR BAY,~ocean_proximity_NEAR OCEAN,median_house_value
-121.97,37.64,32,1283,194,485,171,6.0574,7.502923977,1.134502924,2.83625731,0.151208106,0.35257732,2.645360825,5.172776868,0.469210369,6.882895445,121.97,2.135701856,36.69209476,1.954076712,1024,3.496507561,193.8368,45.4482117,1,2,0,0,0,0,0,431000
-121.99,37.61,9,3666,711,2341,703,4.6458,5.214793741,1.011379801,3.330014225,0.193944354,0.300299018,1.565997437,5.166498285,0.459974315,6.875496178,121.99,1.395129176,21.58345764,1.730911906,81,2.302585093,41.8122,24.22688876,1,0,0,0,0,0,0,217000
-121.97,37.57,21,4342,783,2172,789,4.6146,5.503168568,0.992395437,2.752851711,0.180331644,0.363259669,1.99907919,5.124473488,0.493907248,6.83298966,121.97,1.676298066,21.29453316,1.725370348,441,3.091042453,96.9066,25.39492167,1,1,0,0,0,0,0,247600
-121.96,37.58,15,3575,597,1777,559,5.7192,6.395348837,1.067978533,3.178890877,0.166993007,0.314575127,2.01181767,5.124086117,0.499033436,6.833070737,121.96,1.799118064,32.70924864,1.9049691,225,2.772588722,85.788,36.57627907,1,1,0,0,0,0,0,283500
-121.98,37.58,20,4126,1031,2079,975,3.6832,4.231794872,1.057435897,2.132307692,0.249878817,0.468975469,1.984607985,5.138609786,0.480685313,6.84713164,121.98,1.727330447,13.56596224,1.543981637,400,3.044522438,73.664,15.58654687,1,1,0,0,0,0,0,216900
-121.99,37.58,31,2878,478,1276,485,6.2073,5.934020619,0.98556701,2.630927835,0.166087561,0.380094044,2.255485893,5.145885398,0.471561629,6.854173159,121.99,2.359357759,38.53057329,1.975094401,961,3.465735903,192.4263,36.83424619,1,2,0,0,0,0,0,282500
-122,37.58,6,4405,717,2071,688,5.8151,6.402616279,1.042151163,3.010174419,0.16276958,0.332206663,2.126991791,5.153170144,0.462474183,6.861222027,122,1.931814969,33.81538801,1.919140739,36,1.945910149,34.8906,37.23185392,1,0,0,0,0,0,0,295600
-121.99,37.56,18,5505,1005,2641,971,5,5.669412976,1.035015448,2.719876416,0.182561308,0.367663764,2.084437713,5.132194904,0.480173271,6.839993984,121.99,1.838318819,25,1.791759469,324,2.944438979,90,28.34706488,1,1,0,0,0,0,0,269700
-121.97,37.54,31,1949,344,986,322,4.6349,6.052795031,1.068322981,3.062111801,0.17650077,0.326572008,1.976673428,5.103925992,0.507088128,6.811709749,121.97,1.5136286,21.48229801,1.728979401,961,3.465735903,143.6819,28.05409969,1,2,0,0,0,0,0,196200
-121.93,37.54,25,1354,192,596,220,6.629,6.154545455,0.872727273,2.709090909,0.141802068,0.369127517,2.271812081,5.074796206,0.542853912,6.783529885,121.93,2.446946309,43.943641,2.031956775,625,3.258096538,165.725,40.79848182,2,1,0,0,0,0,0,352400
